Lote 18951815, Stock:, 1.02 a 0 (1.02),costo,4113.000000, valor,4195.26 
Lote 3110516, Stock:, 1.46 a 0 (1.46),costo,4113.000000, valor,6004.98 
Lote 9223516, Stock:, 4.5 a 0 (4.5),costo,4113.000000, valor,18508.5 
Lote 9199616, Stock:, 11 a 0 (11),costo,4113.000000, valor,45243 
Lote 15274317, Stock:, 11 a 0 (11),costo,4113.000000, valor,45243 
Lote 9203516, Stock:, 2.45 a 0 (2.45),costo,4113.000000, valor,10076.85 
Lote 9209516, Stock:, 2.2 a 0 (2.2),costo,4113.000000, valor,9048.6 
Lote 9206716, Stock:, 2 a 0 (2),costo,4113.000000, valor,8226 
Lote 15270417, Stock:, 0.5 a 0 (0.5),costo,4113.000000, valor,2056.5 
Lote 10665614, Stock:, 1 a 0 (1),costo,22915.000000, valor,22915 
